postcode	placeId	name	latitude	longitude	types	vicinity	source	rating
S5 7AU	osm_public_toilet_6263322780	OSM public_toilet (6263322780)	53.3895511	-1.4722736	public_toilet		osm	
S5 7AU	osm_public_toilet_299857527	OSM public_toilet (299857527)	53.4212512	-1.4356468	public_toilet		osm	
S5 7AU	osm_bench_11224879310	OSM bench (11224879310)	53.3877682	-1.4619093	bench		osm	
S5 7AU	osm_bench_11225948085	OSM bench (11225948085)	53.3878238	-1.4614011	bench		osm	
S5 7AU	osm_bench_11225948084	OSM bench (11225948084)	53.3878681	-1.4613482	bench		osm	
S5 7AU	osm_bench_11225948078	OSM bench (11225948078)	53.3879332	-1.4612643	bench		osm	
S5 7AU	osm_bench_11224859828	OSM bench (11224859828)	53.3880549	-1.4615583	bench		osm	
S5 7AU	osm_bench_11224859829	OSM bench (11224859829)	53.3880756	-1.4615236	bench		osm	
S5 7AU	osm_bench_11218857861	OSM bench (11218857861)	53.3881698	-1.4668797	bench		osm	
S5 7AU	osm_bench_11218857860	OSM bench (11218857860)	53.3881824	-1.4669027	bench		osm	
S5 7AU	osm_bench_11218857859	OSM bench (11218857859)	53.3881966	-1.4669208	bench		osm	
S5 7AU	osm_bench_12373427307	OSM bench (12373427307)	53.388847	-1.4713489	bench		osm	
S5 7AU	osm_bench_12373427308	OSM bench (12373427308)	53.3889356	-1.471297	bench		osm	
S5 7AU	osm_bench_8280664172	OSM bench (8280664172)	53.389081	-1.4677816	bench		osm	
S5 7AU	osm_bench_7973477672	OSM bench (7973477672)	53.3896664	-1.4480703	bench		osm	
S5 7AU	osm_bench_7973477667	OSM bench (7973477667)	53.3897345	-1.448484	bench		osm	
S5 7AU	osm_bench_10934075382	OSM bench (10934075382)	53.3898222	-1.4750603	bench		osm	
S5 7AU	osm_bench_7973477666	OSM bench (7973477666)	53.3899945	-1.4505797	bench		osm	
S5 7AU	osm_bench_8607494856	OSM bench (8607494856)	53.3919381	-1.477493	bench		osm	
S5 7AU	osm_bench_8397284763	OSM bench (8397284763)	53.3920608	-1.4775127	bench		osm	
S5 7AU	osm_bench_11193104431	OSM bench (11193104431)	53.3922789	-1.4659409	bench		osm	
S5 7AU	osm_bench_11193104432	OSM bench (11193104432)	53.3924597	-1.4663646	bench		osm	
S5 7AU	osm_bench_10559577685	OSM bench (10559577685)	53.3960731	-1.4696263	bench		osm	
S5 7AU	osm_bench_8938759999	OSM bench (8938759999)	53.3975139	-1.4732829	bench		osm	
S5 7AU	osm_bench_10559567832	OSM bench (10559567832)	53.3982511	-1.474676	bench		osm	
S5 7AU	osm_bench_11763901266	OSM bench (11763901266)	53.3983692	-1.4728829	bench		osm	
S5 7AU	osm_bench_10982846244	OSM bench (10982846244)	53.3985843	-1.4603284	bench		osm	
S5 7AU	osm_bench_8939211519	OSM bench (8939211519)	53.3990476	-1.4744562	bench		osm	
S5 7AU	osm_bench_8939211518	OSM bench (8939211518)	53.399074	-1.4745469	bench		osm	
S5 7AU	osm_bench_11381593832	OSM bench (11381593832)	53.3994408	-1.4742315	bench		osm	
S5 7AU	osm_bench_9808318217	OSM bench (9808318217)	53.4000394	-1.4703769	bench		osm	
S5 7AU	osm_bench_10982846246	OSM bench (10982846246)	53.4000681	-1.4584719	bench		osm	
S5 7AU	osm_bench_10985254895	OSM bench (10985254895)	53.4001192	-1.4633328	bench		osm	
S5 7AU	osm_bench_10985254896	OSM bench (10985254896)	53.4001456	-1.4633609	bench		osm	
S5 7AU	osm_bench_428450902	OSM bench (428450902)	53.4003855	-1.475521	bench		osm	
S5 7AU	osm_bench_7446877474	OSM bench (7446877474)	53.4009633	-1.4742603	bench		osm	
S5 7AU	osm_bench_9581365725	OSM bench (9581365725)	53.4010723	-1.4738137	bench		osm	
S5 7AU	osm_bench_9581422523	OSM bench (9581422523)	53.4012049	-1.4720733	bench		osm	
S5 7AU	osm_bench_10275927661	OSM bench (10275927661)	53.4012193	-1.4715876	bench		osm	
S5 7AU	osm_bench_9581365726	OSM bench (9581365726)	53.4015017	-1.4742574	bench		osm	
S5 7AU	osm_bench_9808307314	OSM bench (9808307314)	53.4015822	-1.4731453	bench		osm	
S5 7AU	osm_bench_11763928594	OSM bench (11763928594)	53.4017206	-1.4751599	bench		osm	
S5 7AU	osm_bench_9581422527	OSM bench (9581422527)	53.4017416	-1.4709006	bench		osm	
S5 7AU	osm_bench_9581422528	OSM bench (9581422528)	53.4018056	-1.4712051	bench		osm	
S5 7AU	osm_bench_9581422526	OSM bench (9581422526)	53.4018375	-1.4706914	bench		osm	
S5 7AU	osm_bench_10315080390	OSM bench (10315080390)	53.4021772	-1.4722935	bench		osm	
S5 7AU	osm_bench_9808318220	OSM bench (9808318220)	53.4027785	-1.4749664	bench		osm	
S5 7AU	osm_bench_10693258326	OSM bench (10693258326)	53.4028581	-1.4253557	bench		osm	
S5 7AU	osm_bench_13130737815	OSM bench (13130737815)	53.4034859	-1.4530264	bench		osm	
S5 7AU	osm_bench_13130737809	OSM bench (13130737809)	53.4040741	-1.4518109	bench		osm	
S5 7AU	osm_bench_8394222046	OSM bench (8394222046)	53.4046673	-1.457817	bench		osm	
S5 7AU	osm_bench_13130791347	OSM bench (13130791347)	53.4048817	-1.4572193	bench		osm	
S5 7AU	osm_bench_13130791346	OSM bench (13130791346)	53.405003	-1.4572887	bench		osm	
S5 7AU	osm_bench_13130791350	OSM bench (13130791350)	53.4050624	-1.457568	bench		osm	
S5 7AU	osm_bench_8394372166	OSM bench (8394372166)	53.4071961	-1.466598	bench		osm	
S5 7AU	osm_bench_12914981137	OSM bench (12914981137)	53.4075162	-1.4758596	bench		osm	
S5 7AU	osm_bench_8394372165	OSM bench (8394372165)	53.4079121	-1.4645121	bench		osm	
S5 7AU	osm_bench_8375284626	OSM bench (8375284626)	53.4079992	-1.4357817	bench		osm	
S5 7AU	osm_bench_9803553957	OSM bench (9803553957)	53.4081502	-1.4902801	bench		osm	
S5 7AU	osm_bench_8378470776	OSM bench (8378470776)	53.4090557	-1.4380606	bench		osm	
S5 7AU	osm_bench_8378470781	OSM bench (8378470781)	53.4097573	-1.4395649	bench		osm	
S5 7AU	osm_bench_8375284620	OSM bench (8375284620)	53.4098547	-1.4400813	bench		osm	
S5 7AU	osm_bench_8375284631	OSM bench (8375284631)	53.4103528	-1.4404201	bench		osm	
S5 7AU	osm_bench_8378470784	OSM bench (8378470784)	53.4106036	-1.4376669	bench		osm	
S5 7AU	osm_bench_8378470771	OSM bench (8378470771)	53.4106763	-1.4360457	bench		osm	
S5 7AU	osm_bench_8378470761	OSM bench (8378470761)	53.4108999	-1.43887	bench		osm	
S5 7AU	osm_bench_8378470755	OSM bench (8378470755)	53.4117263	-1.4381445	bench		osm	
S5 7AU	osm_bench_13098784341	OSM bench (13098784341)	53.4120423	-1.4363862	bench		osm	
S5 7AU	osm_bench_8378470783	OSM bench (8378470783)	53.4128715	-1.43713	bench		osm	
S5 7AU	osm_bench_10983763867	OSM bench (10983763867)	53.4129578	-1.4467139	bench		osm	
S5 7AU	osm_bench_12077156864	OSM bench (12077156864)	53.412974	-1.4882239	bench		osm	
S5 7AU	osm_bench_12077168871	OSM bench (12077168871)	53.4130881	-1.4882904	bench		osm	
S5 7AU	osm_bench_10983763865	OSM bench (10983763865)	53.413261	-1.4472605	bench		osm	
S5 7AU	osm_bench_7399207605	OSM bench (7399207605)	53.4135136	-1.4549888	bench		osm	
S5 7AU	osm_bench_7399207598	OSM bench (7399207598)	53.4136397	-1.4547228	bench		osm	
S5 7AU	osm_bench_9795448830	OSM bench (9795448830)	53.4137874	-1.4886315	bench		osm	
S5 7AU	osm_bench_9795442016	OSM bench (9795442016)	53.4138767	-1.4892546	bench		osm	
S5 7AU	osm_bench_7440914792	OSM bench (7440914792)	53.4139294	-1.4554974	bench		osm	
S5 7AU	osm_bench_12077215889	OSM bench (12077215889)	53.4140199	-1.4889858	bench		osm	
S5 7AU	osm_bench_10983763870	OSM bench (10983763870)	53.4140677	-1.44551	bench		osm	
S5 7AU	osm_bench_10983763902	OSM bench (10983763902)	53.4140939	-1.4472821	bench		osm	
S5 7AU	osm_bench_10983763899	OSM bench (10983763899)	53.4145273	-1.4471557	bench		osm	
S5 7AU	osm_bench_10983763900	OSM bench (10983763900)	53.4145978	-1.4472139	bench		osm	
S5 7AU	osm_bench_10983763898	OSM bench (10983763898)	53.4146407	-1.4471353	bench		osm	
S5 7AU	osm_bench_10983763897	OSM bench (10983763897)	53.41476	-1.4469364	bench		osm	
S5 7AU	osm_bench_8375340240	OSM bench (8375340240)	53.414764	-1.4360987	bench		osm	
S5 7AU	osm_bench_7399207613	OSM bench (7399207613)	53.4148662	-1.455785	bench		osm	
