Postcode	Duration (min)	Route Index	Name	Description	Waypoint Count	Waypoint 1	Waypoint 2	Waypoint 3	Distance (m)	Duration (sec)	Polyline	Generate Polyline
S5	30	1			2	Firth Park Dental (S5)	Firth Park (S5)		2976	2232	wj`eIrryGo@y@]e@QCENOf@G`@EZIt@Et@Ch@AXxACLAn@AVAr@Cb@A@QDMDGHCF?HBPo@R_AXoAHSNc@Zm@Xg@^e@TSRMTGTErBKlAKLAj@Gl@GNAnCWb@AZA~@IbAMd@Of@Uf@WDCFCNIJEPGNGZ?\LXP\ZLPn@r@v@dAx@jAzDlFp@dAOh@q@dAs@`AU^Ud@c@fAM\OZUZa@ZOPYXWXGYOFk@NmFnAUCo@MUIWQ_@]}@cAUWs@q@oAaA_@WcAk@iA{@MCk@Aj@@LBd@^b@ZbAj@^VCV@NPvANvABf@A^u@q@_Au@}@q@YU]W_@YoB}Ag@a@w@q@yB_BGCIASCARENIHKBEAGAGOEM?Q@QDMC]GMECo@k@OMMMGGMQ	Click to Generate
S5	20	1			2	Savers (S5)	R & M (S5)		1595	1196	sj`eIjxyGP?r@Cb@A@QDMC]GMECo@k@OMMMGG}@kA]e@?G@G@E?EDIb@oAHSFQx@sBf@iAp@eA`@g@\YnAs@JOLUF_@D_@Bc@WHmAd@KBq@PGBQDMHMJg@Zi@uDAIIw@Ew@Eq@ACAk@A[aABi@A[AICKCSKQOMVSd@]fAk@jBMd@q@xB_@pAMl@RNNPRTV`@|@hB^p@p@fAj@x@p@fABDBRENOf@G`@EZIt@Et@Ch@AXxACLAn@ADA	Click to Generate
S5	20	1			2	Jamia Islamia Urdu Teaching Centre (S5)	Owler Brook Primary School (S5)		1878	1408	{l~dIztyGf@ZMb@KVMLSLSJk@TUJ\t@T`@N\Tb@`BkAdA_ALAD?@MB[@O?KPaD?GDo@Dy@Fy@RcE@GCe@?CAOCACEAECG?GAK?MHc@BKDQF]BM@MDWXmGFwA@g@F{BDqBBaBk@CK?I@KBUF[\MNi@d@_@NYHYB@XAd@Cz@??B{@@e@AYXCXI^Oh@e@LOZ]\m@d@aADGLSDEBADA?`@ChBC`BEpBGzBAf@GvAYlG?\?J?J?HBBBNBH?LAREXCLETEDEBEBCAEBID?@ONWhAa@vBGT}@tD]~Ag@[	Click to Generate
S5	30	1			2	Eden Mobility (S5)	Mount Tabor Methodist Church (S5)		2650	1988	gx`eIplbHIGWWs@c@UMYEI?EBENEf@CP@X@HADAFAJAVQC_@Ei@Am@Bq@H]FgAVOBKDKBSFI@YFEc@\IFAVGLE`@KNC`AQFAXAb@E|@@R@?M@_@P@L@_@CA^?Lp@JAVQC_@Ei@Am@Bq@H]FgAVOBKDIQAOE]?ICs@Mw@Oi@Sm@EUASAQEEEMKw@Gw@E{@E_A?cA?uAgCE@aABeD@cBASGKOE_BKN}EfEXx@FnCNr@Fr@F`ALvEv@dATn@RTFvBt@VCZIFIHCF?H@HFFJDP@P?PCPELIJIDO\Md@U`EKnBCTYlEKrAc@pEQdBOvAMCUBQ@??KEMK[i@Xy@FQBKEKIOUS	Click to Generate
S5	20	1			2	eCloud (S5)	Cookson Park (S5)		2007	1505	}z`eI`mbHkAk@CP@X@HADAFAJd@PXLNJh@b@d@h@X`@Xj@JVJXFKBEFMBGBIFi@LF@F?F??Kv@AZAVBTV|AFVHRh@k@|EaFX[T[NYPi@Pi@N{@T}ANmArD]dASfAUdA[v@[j@YSa@We@c@k@m@s@OKUQo@_@e@U_@M[Gg@Gg@Ci@B]He@P[Hs@XWNSRQTUZOZSj@UbAE\Gf@MfAg@Ei@Kq@Qc@pEQdBOvACNGh@CHCFGLCDGJMLGQM[Yi@]g@W[QQKKUOOI[OYK@W@K@G@EAIAYBQjAj@	Click to Generate
S5	20	1			2	Jamia Islamia Urdu Teaching Centre (S5)	Owler Brook Primary School (S5)		1831	1373	ml~dIpwyG?@MLSLSJk@TUJ\t@T`@N\Tb@`BkAdA_ALAD?@MB[@O?KPaD?GDo@Dy@Fy@RcE@GCe@?CAOCACEAECG?GAK?MHc@BKDQF]BM@MDWXmGFwA@g@F{BDqBBaBk@CK?I@KBUF[\MNi@d@_@NYHYB@XAd@Cz@??B{@@e@AYXCXI^Oh@e@LOZ]\m@d@aADGLSDEBADA?`@ChBC`BEpBGzBAf@GvAYlG?\?J?J?HBBBNBH?LAREXCLETEDEBEBCAEBID?@ONWhAa@vBGT}@tD]~AMb@KT	Click to Generate
S5	15	1			2	Late Shopper (S5)	Sizzlers Cafe (S5)		1240	930	i~_eI~bvGGpB?FGn@Kn@Qz@[lBKd@ENGHCFA?GPIRWdA_@|AGVCTEh@Cb@CTAJCRo@tBm@vBIVu@dCOf@O^QTMLOLOFUHO?U?ZiEDADGNg@t@eCr@oBl@~CJf@l@wBn@uBBS@KBUBc@Di@BUFW^}AVeAPe@@?BGFIDOJe@ZmBP{@Jo@Fo@?GFqB	Click to Generate
S5	30	1			2	Firth Park (S5)	Jafa International Store (S5)		2784	2088	eg_eI|cyGXMFAJ@D?PID?DBFXPGNGZ?\LXP\ZLPn@r@v@dAx@jAzDlFp@dAOh@q@dAs@`AU^Ud@c@fAM\OZUZa@ZOPYXWXGYOFk@NmFnAUCo@MUIWQ_@]}@cAUWs@q@oAaA_@WcAk@iA{@MCk@Aj@@LBd@^b@ZbAj@^VnA`Ar@p@TV|@bA^\VPTHn@LTBlFoAj@ONGFXVYXYNQ`@[T[N[L]b@gATe@T_@r@aAp@eANi@PVR^l@hATKj@URKRMLMJWLc@w@g@c@Y{@o@_@h@W\CDITGPq@eA{DmFy@kAw@eAo@s@MQ][YQ]M[?OFQFGYECE?QHE?KAG@YL	Click to Generate
S5	30	1			2	Sugar Xpress (S5)	Firth Park (S5)		2959	2219	{k`eInxyG`@AVAr@Cb@A@QDMDGHCF?HBPo@DULi@XoAXw@Zm@Xg@^e@TSRMTGTErBKlAKLAj@Gl@GNAnCWb@AZA~@IbAMd@Of@Uf@WDCFCNIJEPGNGZ?\LXP\ZLPn@r@v@dAx@jAzDlFp@dAOh@q@dAs@`AU^Ud@c@fAM\OZUZa@ZOPYXWXGYOFk@NmFnAUCo@MUIWQ_@]}@cAUWs@q@oAaA_@WcAk@iA{@MCk@Aj@@LBd@^b@ZbAj@^VCV@NPvANvABf@A^u@q@_Au@}@q@YU]W_@YoB}AO|@W~@Wj@Wb@YZc@\[Re@Rm@Jo@Cg@I_@OUSi@c@W]MUGMWo@Uy@Ou@M{@EcACs@xACLAL?	Click to Generate
S5	20	1			2	Bargain Beds Centre (S5)	Firth Park (S5)		1905	1429	aj`eIfoyGh@l@[dBMMGG}@kA]e@QCENOf@G`@EZIt@Et@Ch@AXxACLAn@AVA@?p@Cb@A@QDMDGHCF?HBHPBL@HRBH@FBxB~Av@p@f@`@nB|A^X\VXT|@p@~@t@t@p@@_@Cg@OwAQwAAOBW_@WcAk@iA{@MCk@Aj@@LBd@^b@ZbAj@^VCV@NPvANvABf@A^u@q@_Au@}@q@YU]W_@YoB}Ag@a@w@q@yB_BGCIASCARENIHKBEAGAGOEM?Q@QDMC]GMECo@k@OMZeBi@m@	Click to Generate
S5	20	1			2	Original Jamaican Jerk Centre (S5)	Stubbin Neighbourhood Association (S5)		1587	1190	kd`eIdryGMf@S~@Qn@HPBL@HARENIHKBEAGAGOEM?Q@QDMC]GMECo@k@OMMMGG??}@kA]e@QCENOf@G`@EZIt@Et@Ch@AX_B@K?QASEUECPK\EJGJHb@N`ALhAJbAFr@@n@An@Eh@El@El@ETGNwAzAM]W_@SYUQSOKCOC[C_@BQDE?S@SCKIQ_@O_@O]T]jAqBr@mAV_@VYT[ZYf@a@p@a@TKLKFKDKJ]BQTDRDP@J?~AAxACLAn@AVAr@Cb@A@QDMDGHCF?HBPo@R_ALg@	Click to Generate
S5	30	1			2	Madni Jamia Masjid (S5)	Westbourne House (S5)		2622	1966	u}}dI~fwGMMa@e@_BcBoBfH@@x@~Ab@|@FPP^RZS[Q_@GQUe@MWy@_BAAnBgHvAsF\ZPN\\PNd@d@NNPLEVCRGVg@jBGTCJCJOf@Sf@XdBp@jEXtB?LYnCh@fAf@fABFDFNXe@VWFaAp@MHKNIVETCVEjAGnAAPC\CNQb@_A~BGRETE\E~@G`@cA~FAVGTA?GV?LAREXCLETEDEBEBCACEAECG?GAK?MHc@BKDQF]BM@MDWXmGFwA@g@F{BDqBBaBBiB?a@@m@?{@@i@?I?M@OBUBSJe@Lk@BUBUJkBH{@?IDu@BYBUFa@BQFQRq@BEPi@Xu@Rg@Ng@BKBKFUf@kBFWBSDWQMOOe@e@wA|F`@d@LL	Click to Generate
