Anchor Postcode,Duration (min),Route Index,Waypoints,Waypoint Count,Distance (m),Duration (sec),Duration (formatted),Polyline
WF2 0GU,10,1,Al Fresco → The New Albion → Al Fresco,1,235,77,1min,__ufIjuiHCj@APAPCl@E^GRKRBHRb@U`@CCAAGJ??FK@@BBTa@Sc@CIJSFSD_@Bm@@Q@QBk@
WF2 0GU,10,2,Alverthorpe Conservative Club → Pizza Ferrara → Alverthorpe Conservative Club,1,637,131,2min,cbufI`_jH`AeBCI[o@c@_AGReAvCg@zAg@|AMZM\Nl@Rz@S{@Om@L]L[FS^iAf@{AdAwCFSb@~@Zn@BHaAdB
WF2 0GU,10,3,Alverthorpe Garage → Sun Bo → Alverthorpe Garage,1,312,100,1min,cdufI`bjHb@w@|AmCCIJSFSGEi@}@BDd@v@FDGRKRBH}AlCc@v@
WF2 0GU,10,4,Alverthorpe St Paul's CofE (VA) School → Pizza Ferrara → Alverthorpe St Paul's CofE (VA) School,1,1450,250,4min,unufId`jHBCBU@]Fe@AS?SCWE[HMFW@Y@q@A]DYFUDSJYHWDUDs@De@b@aAPm@JBFDx@nARVf@f@XZPJLDRFPBZHPFPHJJLT[v@c@pAGReAvCg@zAg@|AMZM\Nl@Rz@S{@Om@L]L[FS^iAf@{AdAwCFSb@qAZw@MUKKQIQG[IQCSGMEQKY[g@g@SWy@oAGEKCQl@c@`AEd@Er@ETIVKXERGTEX@\Ap@AXGVILDZBV?R@RGd@A\CTCB
WF2 0GU,10,5,Alverthorpe Working Mens Club → The Eagle → Alverthorpe Working Mens Club,1,797,86,1min,kltfIdrjHjB\^Lh@XXLPBN@X?RCB?XKPKJIXQ@ARQDC??`@YRQXSPWZi@HOLW^u@Rg@IOi@SE@EDEHAN@|@HTFJMVIN[h@QVYRSPa@X??EBSP[RKHQJYJC?SBY?OAQCYMi@Y_@MkB]
WF2 0GU,10,6,Alverthorpe & Wrenthorpe Meadows LNR → Wrenthorpe Park & Alverthorpe Meadows → Alverthorpe & Wrenthorpe Meadows LNR,1,1035,203,3min,_gufIjlhHJDlCd@n@PKqAW}DGcAg@NY?YCYMSMSSQWUe@Us@U{@W{@a@wAW}@g@f@UR??TSf@g@V|@`@vAVz@Tz@Tr@Td@PVRRRLXLXBX?f@OFbAV|DJpAo@QmCe@KE
WF2 0GU,10,7,Amazon DLS4 → Ossett Fire Station → Amazon DLS4,1,235,97,1min,wktfIphmH^gBJHNJReAFUPJ@@@?@??CH_@??I^?BA?A?AAQKGTSdAOKKI_@fB
WF2 0GU,10,8,Ardsley House → BP Manor Service Station → Ardsley House,1,764,93,1min,mxzfIrfkHC@kAZcA\kB|@WPo@d@m@b@]\[`@a@j@_@l@MVS^Up@EP~@LFON[g@eALW^m@`@k@Za@\]l@c@n@e@VQjB}@bA]jA[BA
WF2 0GU,10,9,Blue Marlin Fisheries → Sun Bo → Blue Marlin Fisheries,1,409,109,1min,oeufIp_jHZcAdAwCFSb@~@Zn@JSFSGEi@}@BDd@v@FDGRKR[o@c@_AGReAvC[bA
WF2 0GU,10,10,BP Manor Service Station → Methodist Church → BP Manor Service Station,1,459,83,1min,ug{fI|ukHGN_AMw@pCa@lCg@iDCQIs@AE]cCZNJ@ZDZ@L?n@Al@AR_@f@dAOZ
WF2 0GU,10,11,Cardigan House → West Yorkshire Police Learning & Development Centre → Cardigan House,1,913,289,4min,{nyfIxlkHy@i@MJI@GYCSQVEDGDIJGLGD?FAD@L?XBfABr@F~AJxCB`@YDKB_@DG?CEUe@GICMCICQAIAK?KIBi@FE@GAEEAIKyCDA??E@JxC@HDDF@DAh@GHC?J@J@HBPBHBLFHTd@BDF?^EJCXECa@KyCG_BCs@CgA?YAM@E?G?MFSJOFIFETABRFXHALKx@h@
