Postcode	Duration (min)	Route Index	Name	Description	Waypoint Count	Waypoint 1	Waypoint 2	Waypoint 3	Distance (m)	Duration (sec)	Polyline	Actual Duration (min)	Timing source
WF2 0GU	5	1			2	The New Albion (WF2 0GU)	The Blue Light (WF2 0GU)		556	417	__ufIjuiHCj@APAPCl@E^GRKRBHRb@U`@CCAAGJ??FK@@BBTa@Sc@}AlCu@rAIHHVN`@ADCDSRRSBE@EYy@HIt@sA|AmCCIJSFSD_@Bm@@Q@QBk@	6	OSRM
WF2 0GU	10	1			2	Pizza Ferrara (WF2 0GU)	Al Fresco (WF2 0GU)		844	633	cbufI`_jH`AeBCI[o@c@_AGReAvCg@zA_@hAGRMZM\Nl@Rz@S{@Om@L]L[f@}Af@{AdAwCFSb@~@Zn@JSFSD_@Bm@@Q@QBk@?Q@UBy@Cx@ATC|@APAPCl@E^GRKRBHaAdB	10	OSRM
WF2 0GU	10	1			2	Sun Bo (WF2 0GU)	Kylies Sandwich Bar & Custom Cakes (WF2 0GU)		980	735	cdufI`bjHb@w@|AmCCIJSFSGEe@w@CEh@|@FDGRKR[o@c@_AGReAvCg@zAg@|AMZM\]v@_@~@Qf@GLZl@P[QZ[m@FMp@gB\w@L]L[f@}Af@{AdAwCFSb@~@Zn@BH}AlCc@v@	12	OSRM
WF2 0GU	20	1			2	Pizza Ferrara (WF2 0GU)	Alverthorpe Conservative Club (WF2 0GU)		1723	1292	unufId`jHBCBU@]Fe@AS?SCWE[HMFW@Y@q@A]DYFUDSJYHWDUDs@De@b@aAPm@JBFDx@nARVf@f@XZPJLDRFPBZHPFPHJJLT[v@c@pAGReAvCg@zA_@hAGRMZM\Nl@Rz@S{@Om@L]L[f@}Af@{AdAwCFSb@~@Zn@BH}AlCOSNRZg@`AeBCI[o@c@_Ab@qAZw@MUKKQIQG[IQCSGMEQKY[g@g@SWy@oAGEKCQl@c@`AEd@Er@ETIVKXERGTEX@\Ap@AXGVILDZBV?R@RGd@A\CTCB	21	OSRM
WF2 0GU	10	1			2	The Eagle (WF2 0GU)	Flanshaw Lodge (WF2 0GU)		963	722	kltfIdrjHjB\^Lh@XXLPBN@X?RCB?XKPKJIXQ@ARQDC??`@YRQXSPWZi@HOLW^u@FNHRDPDVUJmAhADd@L`@?@Mc@Ee@lAiATKEWEQISGO_@t@MVIN[h@QVYRSPa@X??EBSP[RKHQJYJC?SBY?OAQCYMi@Y_@MkB]	12	OSRM
WF2 0GU	60	1			2	Wrenthorpe Park & Alverthorpe Meadows (WF2 0GU)	Silcoates School (WF2 0GU)		7531	5648	_gufIjlhHJDlCd@n@PKqAW}DGcAg@NY?YCYMSMSSQWUe@Us@U{@W{@a@wAW}@g@f@UR??TSf@g@V|@`@vAVz@Tz@Tr@Td@PVRRRLXLXBX?f@Od@M^MTKr@Sb@Q^M^Mf@Oh@OnA_@VIVGpBm@|Ac@OxAAJEf@g@jCKf@OfAiAzHGn@Ml@a@tB[~Aq@~Cq@zBCFSn@Uj@]~@Ul@Ob@i@lAk@vAg@hAKR[v@c@pAGReAvCg@zAg@|AMZM\]v@q@fBGL_@`As@fBs@hBwBvE}BrGW~@q@`Ce@rBW|@Qh@Wb@[^q@h@eBzA_AbAc@h@cAlBCHsAeC]u@k@qAQ]qAoCIQFSn@_GTaCN{Cd@cR@MJkARuA@UFa@Dk@D]BS@U?[C[GSOa@U_@}@aBVg@Dw@?s@?GFWFMPi@HQBQ?KESAG?E?KF]DYNa@`@eAKQGO?G?Md@sA??e@rA?L?FFNJPb@iABGBADADBDHBJ?@?F_B`EELAJAL@L?B@DFHFBDFBHFLDHDHBL@LAPA|@CZAXIhAGrACXCNMPFRBZ?ZATCRE\Ej@G`@ATStAKjAALe@bROzCU`Co@~FGRHPpAnCP\j@pA\t@rAdCBIbAmBb@i@~@cAdB{Ap@i@Z_@Vc@Pi@V}@d@sBp@aCV_A|BsGvBwEr@iBr@gB^aAFMp@gB\w@L]L[f@}Af@{AdAwCFSb@qAZw@JSf@iAj@wAh@mANc@Tm@\_ATk@Ro@BGp@{Bp@_DZ_B`@uBLm@Fo@hA{HNgAJg@f@kCDg@@KNyA}Ab@qBl@WFWHoA^i@NH`APpC?p@Aj@Ef@In@I`@KZCD]bAaCk@_AWo@QmCe@KE	94	OSRM
WF2 0GU	5	1			2	Ossett Fire Station (WF2 0GU)	Silkwood Farm (WF2 0GU)		636	477	wktfIphmH^gBJHNJReAFUPJ@@@?@??CH_@??I^?BA?A?AAQKR_A@GVmAnB~ALo@VR\ZPaA??Q`A][WSMn@oB_BWlAAFS~@GTSdAOKKI_@fB	7	OSRM
WF2 0GU	15	1			2	BP Manor Service Station (WF2 0GU)	Restyle Fitness (WF2 0GU)		1157	868	mxzfIrfkHC@kAZcA\kB|@WPo@d@m@b@]\[`@a@j@_@l@MVf@dAOZGN_AMw@pCa@lCg@iDCQKy@]cCZNJ@Be@a@MZJD@Cd@ZDZ@L?n@Al@AR_@LW^m@`@k@Za@\]l@c@n@e@VQjB}@bA]jA[BA	14	OSRM
WF2 0GU	10	1			2	Sun Bo (WF2 0GU)	Kylies Sandwich Bar & Custom Cakes (WF2 0GU)		776	582	oeufIp_jHZcAdAwCFSb@~@Zn@JSFSGEe@w@CEh@|@FDGRKR[o@c@_AGReAvCg@zAg@|AMZM\]v@_@~@Qf@GLZl@P[QZ[m@FMp@gB\w@L]L[f@}AJW	9	OSRM
WF2 0GU	10	1			2	Methodist Church (WF2 0GU)	Tania's Barbershop (WF2 0GU)		1031	773	ug{fI|ukHGN_AMw@pCa@lCg@iDCQIs@AE]cCg@a@[Yk@c@WOQK]O_@Oc@pDEb@A`@Ab@?\B\FjADv@Hx@Fr@Jp@Nj@Nf@R\XZXH\FdA[x@CLiAJqAJiA`@mCv@qC~@LFO	12	OSRM
