Anchor Postcode,Duration (min),Route Index,Waypoints,Waypoint Count,Distance (m),Duration (sec),Duration (formatted),Polyline
S5,5,1,,0,0,0,0min,
S5,5,2,,0,0,0,0min,
S5,5,3,,0,0,0,0min,
S5,5,4,,0,0,0,0min,
S5,5,5,,0,0,0,0min,
S5,5,6,,0,0,0,0min,
S5,5,7,,0,0,0,0min,
S5,5,8,,0,0,0,0min,
S5,5,9,,0,0,0,0min,
S5,5,10,,0,0,0,0min,
S5,5,11,,0,0,0,0min,
S5,5,12,,0,0,0,0min,
S5,10,13,Al Mahdi Centre,1,1277,958,15min,
S5,10,14,Allied Pharmacy - Firth Park Road,1,218,163,2min,
S5,10,15,Al Mahdi Centre,1,1019,764,12min,
S5,10,16,Albatross,1,5928,4446,74min,
S5,10,17,Albatross,1,5904,4428,73min,
S5,10,18,Al Mahdi Centre,1,1075,806,13min,
S5,10,19,Al Mahdi Centre,1,2183,1637,27min,
S5,10,20,A1 Immigration Services,1,1019,764,12min,
S5,10,21,Allied Pharmacy - Firth Park Road,1,263,197,3min,
S5,10,22,Al Mahdi Centre,1,1286,964,16min,
S5,10,23,7 Hills Blinds,1,218,163,2min,
S5,10,24,A1 Immigration Services,1,1757,1317,21min,
