Using OSRM walking only — no haversine fallback; tries all mirrors until one succeeds.
Loaded 123 POIs from pois_WF2_0GU.tsv
Total: 123 POIs
Starting: 1353 candidate routes (OSRM=on)
[0s] 1/1353 | routes: 0 | skipped: 0
[1s] 2/1353 | routes: 1 | skipped: 0
[2s] 3/1353 | routes: 2 | skipped: 0
[3s] 4/1353 | routes: 3 | skipped: 0
[4s] 5/1353 | routes: 4 | skipped: 0
[5s] 6/1353 | routes: 5 | skipped: 0
[7s] 7/1353 | routes: 6 | skipped: 0
[8s] 8/1353 | routes: 7 | skipped: 0
[9s] 9/1353 | routes: 8 | skipped: 0
[10s] 10/1353 | routes: 9 | skipped: 0
[12s] 11/1353 | routes: 10 | skipped: 0
[13s] 12/1353 | routes: 11 | skipped: 0
[14s] 13/1353 | routes: 12 | skipped: 0
[15s] 14/1353 | routes: 13 | skipped: 0
[16s] 15/1353 | routes: 14 | skipped: 0
[18s] 16/1353 | routes: 15 | skipped: 0
[19s] 17/1353 | routes: 16 | skipped: 0
[20s] 18/1353 | routes: 17 | skipped: 0
[22s] 19/1353 | routes: 18 | skipped: 0
[23s] 20/1353 | routes: 19 | skipped: 0
[24s] 21/1353 | routes: 20 | skipped: 0
[26s] 22/1353 | routes: 21 | skipped: 0
[27s] 23/1353 | routes: 22 | skipped: 0
[28s] 24/1353 | routes: 23 | skipped: 0
[29s] 25/1353 | routes: 24 | skipped: 0
[30s] 26/1353 | routes: 25 | skipped: 0
[31s] 27/1353 | routes: 26 | skipped: 0
[33s] 28/1353 | routes: 27 | skipped: 0
[34s] 29/1353 | routes: 28 | skipped: 0
[35s] 30/1353 | routes: 29 | skipped: 0
[36s] 31/1353 | routes: 30 | skipped: 0
[37s] 32/1353 | routes: 31 | skipped: 0
[38s] 33/1353 | routes: 32 | skipped: 0
[39s] 34/1353 | routes: 33 | skipped: 0
[41s] 35/1353 | routes: 34 | skipped: 0
[42s] 36/1353 | routes: 35 | skipped: 0
[43s] 37/1353 | routes: 36 | skipped: 0
[44s] 38/1353 | routes: 37 | skipped: 0
[45s] 39/1353 | routes: 38 | skipped: 0
[47s] 40/1353 | routes: 39 | skipped: 0
[48s] 41/1353 | routes: 40 | skipped: 0
[49s] 42/1353 | routes: 41 | skipped: 0
[50s] 43/1353 | routes: 42 | skipped: 0
[51s] 44/1353 | routes: 43 | skipped: 0
[52s] 45/1353 | routes: 44 | skipped: 0
[53s] 46/1353 | routes: 45 | skipped: 0
[54s] 47/1353 | routes: 46 | skipped: 0
[56s] 48/1353 | routes: 47 | skipped: 0
[57s] 49/1353 | routes: 48 | skipped: 0
[58s] 50/1353 | routes: 49 | skipped: 0
[59s] 51/1353 | routes: 50 | skipped: 0
[60s] 52/1353 | routes: 51 | skipped: 0
[62s] 53/1353 | routes: 52 | skipped: 0
[63s] 54/1353 | routes: 53 | skipped: 0
[64s] 55/1353 | routes: 54 | skipped: 0
[65s] 56/1353 | routes: 55 | skipped: 0
[67s] 57/1353 | routes: 56 | skipped: 0
[68s] 58/1353 | routes: 57 | skipped: 0
[69s] 59/1353 | routes: 58 | skipped: 0
[70s] 60/1353 | routes: 59 | skipped: 0
[71s] 61/1353 | routes: 60 | skipped: 0
[72s] 62/1353 | routes: 61 | skipped: 0
[73s] 63/1353 | routes: 62 | skipped: 0
[75s] 64/1353 | routes: 63 | skipped: 0
[76s] 65/1353 | routes: 64 | skipped: 0
[77s] 66/1353 | routes: 65 | skipped: 0
[78s] 67/1353 | routes: 66 | skipped: 0
[79s] 68/1353 | routes: 67 | skipped: 0
