getpwuid_r did not find a match for uid 501
Filtering the log data using "processImagePath CONTAINS "WalkingWR""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-02-14 10:31:48.164186+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Looking up debug dylib relative path
2026-02-14 10:31:48.164377+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Found debug dylib relative path string `WalkingWR.debug.dylib`
2026-02-14 10:31:48.164382+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Looking up debug dylib entry point name
2026-02-14 10:31:48.164386+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] No debug dylib entry point name defined.
2026-02-14 10:31:48.164390+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Looking up debug dylib install name
2026-02-14 10:31:48.164394+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Found debug dylib install name string `@rpath/WalkingWR.debug.dylib`
2026-02-14 10:31:48.164398+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Looking for Previews JIT link entry point.
2026-02-14 10:31:48.180796+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] No Previews JIT entry point found.
2026-02-14 10:31:48.180805+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Gave PreviewsInjection a chance to run and it returned, continuing with debug dylib.
2026-02-14 10:31:48.180810+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Looking for main entry point.
2026-02-14 10:31:48.180814+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Opening debug dylib with '@rpath/WalkingWR.debug.dylib'
2026-02-14 10:31:48.180862+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Debug dylib handle: 0xb2470
2026-02-14 10:31:48.180880+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] No entry point found. Checking for alias.
2026-02-14 10:31:48.180885+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: [com.apple.Previews.StubExecutor:PreviewsAgentExecutorLibrary] Calling provided entry point.
2026-02-14 10:31:48.184527+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: (CoreFoundation) [com.apple.CFBundle:resources] Using ~iphone resources
2026-02-14 10:31:48.184583+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: (CoreFoundation) [com.apple.CFBundle:loading] main bundle CFBundle 0x600003b081c0 </Users/raihant/Library/Developer/CoreSimulator/Devices/C2EA6332-2143-4212-B857-1998FEBB2A88/data/Containers/Bundle/Application/152B1E7E-7588-45A8-B1FB-B8951759B4D3/WalkingWR.app> (executable, loaded) getting handle 0xfffffffffffffffb
2026-02-14 10:31:48.184738+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: (CoreFoundation) [com.apple.defaults:User Defaults] setting new value (
    "en-001"
) for key AppleLanguages in CFPrefsSource<0x600002108410> (Domain: Volatile, User: , ByHost: No, Container: , Contents Need Refresh: No)
2026-02-14 10:31:48.184751+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: (CoreFoundation) [com.apple.defaults:User Defaults] setting new value en_001 for key AppleLocale in CFPrefsSource<0x600002108410> (Domain: Volatile, User: , ByHost: No, Container: , Contents Need Refresh: No)
2026-02-14 10:31:48.184762+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: (CoreFoundation) [com.apple.defaults:User Defaults] setting new value (
    "en-001"
) for key NSLanguages in CFPrefsSource<0x600002108410> (Domain: Volatile, User: , ByHost: No, Container: , Contents Need Refresh: No)
2026-02-14 10:31:48.184769+0000 0x28cead0  Debug       0x0                  35254  0    WalkingWR: (CoreFoundation) [com.apple.defaults:User Defaults] setting new value macintosh for key NSInterfaceStyle in CFPrefsSource<0x600002108410> (Domain: Volatile, User: , ByHost: No, Container: , Contents Need Refresh: No)
2026-02-14 10:31:48.185167+0000 0x28cead0  Default     0x0                  35254  0    WalkingWR: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d04000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
