Loading from /tmp/toiletmap_toilets.json...
Loaded 15751 toilets.
Filtered to 82 toilets.
postcode	placeId	name	latitude	longitude	types	vicinity	source	rating
S5 7AU	toiletmap_01b5ee4a06fde61b9c2022c4	Next (Costa coffee)	53.327303957	-1.466732514	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_0302cc7df663eb974d3b5676	Meadowhall	53.416902269	-1.41361886	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_03d672d5e50e04777f415e33	Stocksbridge	53.481714172	-1.590067148	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_074d876a5485694604f6f9bc	Bolsterstone Public Toilets	53.468101814	-1.593677402	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_0a2e348f967648e099674b87	Botanical Gardens Main Toilet Block	53.3712305	-1.4953213	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_0aa87a3e8fe4faf412be69cd	SOAR Works Enterprise Centre	53.432162408	-1.479490399	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_0b15450a36645f161dfcca02	Bradfield Public Toilet	53.4246862	-1.6055408	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_0cc2f2fd0b446c2d7189df1d	Abbeydale Industrial Hamlet Cafe	53.33409544	-1.51200464	public_toilet, accessible, baby_change	Sheffield	toiletmap	
S5 7AU	toiletmap_1150ff18cbbcacfde370aa9b	The Rawson Spring	53.401906295	-1.500357985	public_toilet, accessible	Sheffield	toiletmap	
S5 7AU	toiletmap_12e4984d37d48b01c7ad6eb8	Longley 4 Greens Community Centre	53.417087427	-1.472119689	public_toilet	Sheffield	toiletmap	
S5 7AU	toiletmap_170a7788f561c1e1ebffa147	Marks & Spencer, Fargate, Sheffield	53.381805306	-1.468477249	public_toilet, accessible, baby_change	Sheffield	toiletmap	
