postcode	placeId	name	latitude	longitude	types	vicinity	source	rating
WF2 0GU	toiletmap_042d922726e33bed8006c32b	Shoemarket Toilets	53.691905595	-1.312844753	public_toilet, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_055db1c2d8ed983cb33b7148	Junction 32 Shopping Centre - 2 sets of toilets	53.712247527	-1.339119673	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_0f4219fcb3d3b2b259d4fe64	Trinity Walk Shopping Centre	53.684419703	-1.493802667	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_131ec1d4182631ea4e337fc6	Ossett Town Hall	53.679992912	-1.579357502	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_26baef1152bd3cd78497c471	McDonald's	53.696900558	-1.321046948	public_toilet, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_2e0c2fa9b6a65fd5a8f7624	Lidl	53.680298121	-1.581629892	public_toilet, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_352d0237e404768f291a19a7	Wakefield One (Council Offices and Library)	53.684283775	-1.503680741	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_4b0256c0b1b843b8428a8f62	Petrol station	53.652526486	-1.523679568	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_564933c46f71a443a7222644	Ridings Centre	53.682105208	-1.494521499	public_toilet, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_5ad18993d76cd97ce58b64aa	Public toilet	53.6524027	-1.390275	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_76e92bafe01a172be4cbd455	Fieldhead Hospital Volunteer Lounge	53.69745445	-1.490790546	public_toilet, accessible	Wakefield	toiletmap	
WF2 0GU	toiletmap_7eb341cf2541db23bf6ed891	Asda	53.714269126	-1.352444887	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_7ec98cd2e3e7e3a6b3f039b9	Hepworth Wakefield gallery	53.675949018	-1.491115093	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_8b39cdea326b68e77edad6a8	Horbury Library	53.661165126	-1.559710612	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_921cb9d65cc7a249a251490f	Baghill House Health and Wellbeing Centre	53.693926446	-1.303094923	public_toilet, accessible	Wakefield	toiletmap	
WF2 0GU	toiletmap_95b489d9740aa5b0cbe9224c	Pugney's Country Park	53.657388072	-1.510723692	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_96b69851f8bf8569accfd492	Hepworth Wakefield gallery	53.675949018	-1.491115093	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_97659737c25075ccde1f2281	Public toilet	53.6337303	-1.4335414	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_afa98ca412dbaa8a0753856b	Tesco Hemsworth	53.612891782	-1.352457311	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_b087b4e1e51ce31f912a72eb	National Coal Mining Museum	53.643715446	-1.619292469	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_b8fc1312212fa0d746df567f	The Weston, Yorkshire Sculpture Park	53.608601361	-1.556829214	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_c316ee7ba44e74f19f8f4a2f	Pontefract Castle	53.695230427	-1.303698421	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_d1ab2aae7e3a59cd0b158e6c	The Lupset pub/grill	53.669156306	-1.533660293	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_e586bba3e691e6189e41b96a	Public toilet	53.6381205	-1.4977764	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_ee31757e29cfef602f11ac4f	Public toilet	53.6974113	-1.2666329	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_f19b883a5e6886c64d82def0	Drury Lane Health and Wellbeing Centre	53.682989013	-1.503144801	public_toilet, accessible	Wakefield	toiletmap	
WF2 0GU	toiletmap_f3bf71566576cbd679d4c92d	Wakefield Westgate Platform 1	53.682878317	-1.505773096	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_f4b37a44586e239559f09f83	Middlestown Health Centre	53.650672974	-1.598779007	public_toilet, accessible	Wakefield	toiletmap	
WF2 0GU	toiletmap_f4d3dd9d415ebb6304e7a111	Castleford Bus Station	53.724509999	-1.358128488	public_toilet, accessible	Wakefield	toiletmap	
WF2 0GU	toiletmap_f7993234d4d3170a45d4a82e	Pinderfields hospital	53.692581199	-1.487563848	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_fac47b458f9d6e302a24aa49	Public toilet	53.6517912	-1.3885739	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_fb836741eea36baa587d16e2	Co-operative Supermarket	53.659369698	-1.555531025	public_toilet	Wakefield	toiletmap	
WF2 0GU	toiletmap_fe082fa2f260e83fb9070d5b	Xcape	53.709974622	-1.341608763	public_toilet, accessible, baby_change	Wakefield	toiletmap	
WF2 0GU	toiletmap_fef83a263ee9ec67db72aa17	Health Centre Toilets	53.6815824	-1.5812561	public_toilet, accessible	Wakefield	toiletmap	
